COD_ESTADO,COD_MUNICIPIO,COD_PARROQUIA,COD_CENTRO,MESA,CANDIDATO,TOTAL VOTOS EN MESA,PARTIDO,VOTOS POR PARTIDO
5,1,1,50101001,2,JORGE ALBERTO ARREAZA MONTSERRAT,205,PARTIDO SOCIALISTA UNIDO DE VENEZUELA,199
5,1,1,50101001,2,JORGE ALBERTO ARREAZA MONTSERRAT,205,TENDENCIAS UNIFICADAS PARA ALCANZAR EL MOVIMIENTO DE ACCIÓN REVOLUCIONARIA ORGANIZADA ,2
5,1,1,50101001,2,JORGE ALBERTO ARREAZA MONTSERRAT,205,ALIANZA PARA EL CAMBIO ,1
5,1,1,50101001,2,JORGE ALBERTO ARREAZA MONTSERRAT,205,UNIDAD POPULAR VENEZOLANA ,1
5,1,1,50101001,2,JORGE ALBERTO ARREAZA MONTSERRAT,205,MOVIMIENTO SOMOS VENEZUELA,1
5,1,1,50101001,2,JORGE ALBERTO ARREAZA MONTSERRAT,205,POR LA DEMOCRACIA SOCIAL ,1
5,1,1,50101001,2,JORGE ALBERTO ARREAZA MONTSERRAT,205,MOVIMIENTO ELECTORAL DEL PUEBLO ,0
5,1,1,50101001,2,JORGE ALBERTO ARREAZA MONTSERRAT,205,ORGANIZACIÓN RENOVADORA AUTENTICA ,0
5,1,1,50101001,2,JORGE ALBERTO ARREAZA MONTSERRAT,205,PATRIA PARA TODOS ,0
5,1,1,50101001,2,SERGIO RAMON GARRIDO QUINTERO,177,MESA DE LA UNIDAD DEMOCRÁTICA,174
5,1,1,50101001,2,SERGIO RAMON GARRIDO QUINTERO,177,MOVIMIENTO PROGRESISTA DE VENEZUELA,2
5,1,1,50101001,2,SERGIO RAMON GARRIDO QUINTERO,177,CONVERGENCIA,1
5,1,1,50101001,2,SERGIO RAMON GARRIDO QUINTERO,177,UNIÓN PARA EL PROGRESO,0
5,1,1,50101001,2,SERGIO RAMON GARRIDO QUINTERO,177,PARTIDO UNIÓN Y ENTENDIMIENTO,0
5,1,1,50101001,2,SERGIO RAMON GARRIDO QUINTERO,177,MOVIMIENTO AL SOCIALISMO ,0
5,1,1,50101001,2,SERGIO RAMON GARRIDO QUINTERO,177,MOVIMIENTO CENTRADOS,0
5,1,1,50101001,2,CLAUDIO ELOY FERMIN MALDONADO,5,ESPERANZA POR EL CAMBIO,2
5,1,1,50101001,2,CLAUDIO ELOY FERMIN MALDONADO,5,SOLUCIONES POR VENEZUELA,1
5,1,1,50101001,2,CLAUDIO ELOY FERMIN MALDONADO,5,ACCIÓN DEMOCRÁTICA,1
5,1,1,50101001,2,CLAUDIO ELOY FERMIN MALDONADO,5,VENEZUELA UNIDA,1
5,1,1,50101001,2,CLAUDIO ELOY FERMIN MALDONADO,5,CAMBIEMOS MOVIMIENTO CIUDADANO,0
5,1,1,50101001,2,CLAUDIO ELOY FERMIN MALDONADO,5,MOVIMIENTO REPUBLICANO,0
5,1,1,50101001,2,CLAUDIO ELOY FERMIN MALDONADO,5,COMITÉ DE ORGANIZACIÓN POLÍTICA ELECTORAL  INDEPENDIENTE ,0
5,1,1,50101001,2,CLAUDIO ELOY FERMIN MALDONADO,5,NUEVA VISIÓN PARA MI PAÍS,0
5,1,1,50101001,2,CLAUDIO ELOY FERMIN MALDONADO,5,COMPROMISO PAÍS,0
5,1,1,50101001,2,CLAUDIO ELOY FERMIN MALDONADO,5,PRIMERO VENEZUELA,0
5,1,1,50101001,2,ADOLFO RAMON SUPERLANO,2,MOVIMIENTO DE INTEGRIDAD NACIONAL-UNIDAD,1
5,1,1,50101001,2,ADOLFO RAMON SUPERLANO,2,VOLUNTAD POPULAR ACTIVISTAS,1
5,1,1,50101001,2,JESUS LEONARDO MACABEO LUCENA,0,ALIANZA DEL LÁPIZ PARTIDO POPULAR,0
5,1,1,50101001,2,PEDRO JOSE DIAZ BAPTISTA,0,MOVIMIENTO ECOLÓGICO DE VENEZUELA ,0
5,1,1,50101001,1,SERGIO RAMON GARRIDO QUINTERO,177,MESA DE LA UNIDAD DEMOCRÁTICA,170
5,1,1,50101001,1,SERGIO RAMON GARRIDO QUINTERO,177,PARTIDO UNIÓN Y ENTENDIMIENTO,2
5,1,1,50101001,1,SERGIO RAMON GARRIDO QUINTERO,177,MOVIMIENTO AL SOCIALISMO ,1
5,1,1,50101001,1,SERGIO RAMON GARRIDO QUINTERO,177,MOVIMIENTO CENTRADOS,1
5,1,1,50101001,1,SERGIO RAMON GARRIDO QUINTERO,177,MOVIMIENTO PROGRESISTA DE VENEZUELA,1
5,1,1,50101001,1,SERGIO RAMON GARRIDO QUINTERO,177,UNIÓN PARA EL PROGRESO,1
5,1,1,50101001,1,SERGIO RAMON GARRIDO QUINTERO,177,CONVERGENCIA,1
5,1,1,50101001,1,JORGE ALBERTO ARREAZA MONTSERRAT,171,PARTIDO SOCIALISTA UNIDO DE VENEZUELA,167
5,1,1,50101001,1,JORGE ALBERTO ARREAZA MONTSERRAT,171,MOVIMIENTO SOMOS VENEZUELA,2
5,1,1,50101001,1,JORGE ALBERTO ARREAZA MONTSERRAT,171,POR LA DEMOCRACIA SOCIAL ,1
5,1,1,50101001,1,JORGE ALBERTO ARREAZA MONTSERRAT,171,TENDENCIAS UNIFICADAS PARA ALCANZAR EL MOVIMIENTO DE ACCIÓN REVOLUCIONARIA ORGANIZADA ,1
5,1,1,50101001,1,JORGE ALBERTO ARREAZA MONTSERRAT,171,PATRIA PARA TODOS ,0
5,1,1,50101001,1,JORGE ALBERTO ARREAZA MONTSERRAT,171,UNIDAD POPULAR VENEZOLANA ,0
5,1,1,50101001,1,JORGE ALBERTO ARREAZA MONTSERRAT,171,MOVIMIENTO ELECTORAL DEL PUEBLO ,0
5,1,1,50101001,1,JORGE ALBERTO ARREAZA MONTSERRAT,171,ORGANIZACIÓN RENOVADORA AUTENTICA ,0
5,1,1,50101001,1,JORGE ALBERTO ARREAZA MONTSERRAT,171,ALIANZA PARA EL CAMBIO ,0
5,1,1,50101001,1,CLAUDIO ELOY FERMIN MALDONADO,12,SOLUCIONES POR VENEZUELA,6
5,1,1,50101001,1,CLAUDIO ELOY FERMIN MALDONADO,12,VENEZUELA UNIDA,3
5,1,1,50101001,1,CLAUDIO ELOY FERMIN MALDONADO,12,ESPERANZA POR EL CAMBIO,1
5,1,1,50101001,1,CLAUDIO ELOY FERMIN MALDONADO,12,PRIMERO VENEZUELA,1
